Sender,receiver,time_window_start,time_window_end,daily_balance_change,cumulative_balance,currency
AT858792009978489872,AT202035283792830612,2021-01-01 05:30:00,2021-01-02 05:30:00,-57343.91669630157,-57343.91669630157,EUR
ES0872408156752895057159,AT431254196979442200,2021-01-04 05:30:00,2021-01-05 05:30:00,-38247.22543266951,-38247.22543266951,EUR
FI1946838900356051,AT555791747374504123,2021-01-02 05:30:00,2021-01-03 05:30:00,-68721.85484054152,-68721.85484054152,EUR
ES6445682417173068849443,AT570709402024025968,2021-01-05 05:30:00,2021-01-06 05:30:00,-30323.20373393056,-30323.20373393056,EUR
FI0389406007124686,AT583503408298956027,2021-01-02 05:30:00,2021-01-03 05:30:00,-71920.625,-71920.625,EUR
FI6662017721967309,AT714982817851066433,2021-01-03 05:30:00,2021-01-04 05:30:00,-9766.382079036273,-9766.382079036273,EUR
FI6456853241063467,AT784794993797318822,2021-01-06 05:30:00,2021-01-07 05:30:00,-19451.673847302358,-19451.673847302358,EUR
AT743061644978748143,AT936796771808005416,2021-01-06 05:30:00,2021-01-07 05:30:00,-25306.294921875,-25306.294921875,EUR
AT778307251050668155,CH0535705437846836960,2021-01-06 05:30:00,2021-01-07 05:30:00,-49971.506794716064,-49971.506794716064,EUR
CH3162098821129489944,CH1040113713064690280,2021-01-03 05:30:00,2021-01-04 05:30:00,-34935.562618539596,-34935.562618539596,EUR
CH0472189429230451314,CH3185180833383947411,2021-01-03 05:30:00,2021-01-04 05:30:00,-81587.5625,-81587.5625,EUR
AT637010964923917759,CH4450750944457455088,2021-01-07 05:30:00,2021-01-08 05:30:00,-77266.57331673779,-77266.57331673779,EUR
FI1350625178273764,CH8065414961333281954,2021-01-06 05:30:00,2021-01-07 05:30:00,-29338.863946183024,-29338.863946183024,EUR
FI9331212424143128,CH8810854841585939725,2021-01-06 05:30:00,2021-01-07 05:30:00,-111353.54614812374,-111353.54614812374,EUR
CH1148308426129112557,CH8866207481306806483,2021-01-05 05:30:00,2021-01-06 05:30:00,-81202.921875,-81202.921875,EUR
AT571436619956067656,CH9443043897520109122,2021-01-01 05:30:00,2021-01-02 05:30:00,-66338.47358117162,-66338.47358117162,EUR
